timestamp,chapter,percent,color,quote
2/6/23 0:52,18. Better Judges for Better Judgments,50.80%,#FFB,The CRT is seen by many as one instrument to measure a broader concept: the propensity to use reflective versus impulsive thought processes
2/6/23 0:50,18. Better Judges for Better Judgments,50.60%,#FFB,"If you must pick people to make judgments, picking those with the highest mental ability makes a lot of sense."
2/6/23 0:47,18. Better Judges for Better Judgments,50.10%,#FFB,"Intelligence is correlated with good performance in virtually all domains. All other things being equal, it is associated not only with higher academic achievement but also with higher job performance."
2/6/23 0:43,18. Better Judges for Better Judgments,49.50%,#FFB,"Highly skilled people are less noisy, and they also show less bias."
2/6/23 0:42,18. Better Judges for Better Judgments,49.40%,#FFB,"both less noisy and less biased when those who make them are well trained, are more intelligent, and have the right cognitive style"
2/6/23 0:37,Part V: Improving Judgments,48.60%,#FFB,"A sensible way to improve judgments is, of course, to select the best possible human judges."
2/6/23 0:37,Part V: Improving Judgments,48.60%,#FFB,"asking a designated decision observer to search for diagnostic signs that could indicate, in real time, that a group’s work is being affected by one or several familiar biases"
2/6/23 0:37,Part V: Improving Judgments,48.60%,#FFB,"We introduce the theme of decision hygiene, the approach we recommend to reduce noise in human judgments."
2/5/23 23:58,14. The Matching Operation,38.70%,#DFC,matching
1/30/23 14:14,23. Defining the Scale in Performance Ratings,65.50%,#FFB,"Our aspiration here is not to examine these questions but to make a more modest suggestion: if you do measure performance, your performance ratings have probably been pervaded by system noise and, for that reason, they might be essentially useless and quite possibly counterproductive"
1/30/23 14:13,23. Defining the Scale in Performance Ratings,65.30%,#FFB,Frame-of-reference training has been known for decades and provides demonstrably less noisy and more accurate ratings
1/30/23 14:11,23. Defining the Scale in Performance Ratings,65.10%,#FFB,frame-of-reference training
1/30/23 14:09,23. Defining the Scale in Performance Ratings,65.00%,#FFB,"In 2015, Deloitte calculated that it was spending 2 million hours each year evaluating its sixty-five thousand people."
1/30/23 14:09,23. Defining the Scale in Performance Ratings,65.00%,#FFB,performance ratings as they are most often practiced demotivate as often as they motivate
1/30/23 14:09,23. Defining the Scale in Performance Ratings,65.00%,#FFB,"No matter what has been tried over decades to improve [performance management] processes, they continue to generate inaccurate information and do virtually nothing to drive performance"
1/30/23 14:05,23. Defining the Scale in Performance Ratings,64.40%,#FFB,Yet it often backfires.
1/30/23 14:02,23. Defining the Scale in Performance Ratings,64.00%,#FFB,"In this case, the reduction of noise may not be worth the cost—a problem that we will discuss in part 6."
1/30/23 14:02,23. Defining the Scale in Performance Ratings,64.00%,#FFB,creeping ratings inflation.
1/30/23 14:02,23. Defining the Scale in Performance Ratings,64.00%,#DFC,forced ranking.
1/30/23 14:02,23. Defining the Scale in Performance Ratings,64.00%,#FFB,"Many companies adopted it, only to abandon it later, citing undesirable side effects on morale and teamwork."
1/30/23 13:56,23. Defining the Scale in Performance Ratings,63.90%,#FFB,"The rise in popularity of 360-degree feedback coincided with the generalization of fluid, project-based organizations."
1/30/23 13:56,23. Defining the Scale in Performance Ratings,63.90%,#FFB,Overengineered questionnaires abound (one example involves forty-six ratings on eleven dimensions for each rater and person being rated).
1/30/23 13:55,23. Defining the Scale in Performance Ratings,63.70%,#FFB,Almost all organizations use the noise-reduction strategy of aggregation
1/30/23 13:53,23. Defining the Scale in Performance Ratings,63.50%,#FFB,", “the relationship between job performance and ratings of job performance is likely to be weak or at best uncertain.”"
1/30/23 13:51,23. Defining the Scale in Performance Ratings,63.30%,#FFB,"that is, variance attributable to the person’s performance, accounts for no more than 20 to 30% of the total variance. The rest, 70 to 80% of the variance in the ratings, is system noise."
1/30/23 13:50,23. Defining the Scale in Performance Ratings,63.10%,#FFB,But most people do not know just how noisy they are.
1/30/23 13:47,22. Guidelines in Medicine,62.20%,#FFB,found that the likelihood of an agreement between two opinions was just 57%.
1/30/23 13:42,22. Guidelines in Medicine,61.10%,#FFB,occasion noise
1/30/23 13:42,22. Guidelines in Medicine,61.10%,#FFB,"In short, doctors are significantly more likely to order cancer screenings early in the morning than late in the afternoon. In"
1/30/23 13:41,22. Guidelines in Medicine,61.10%,#FFB,1% to 64%
1/30/23 13:36,22. Guidelines in Medicine,61.80%,#FFB,The Apgar score focuses the health professional on the five that are empirically known to matter. Then
1/28/23 19:45,25. The Mediating Assessments Protocol,69.00%,#FFB,"Just like a recruiter in an unstructured interview, we are at risk of using all the debate to confirm our first impressions."
1/28/23 19:40,24. Structure in Hiring,68.10%,#FFB,"The three principles—once more, decomposition, independent assessment on each dimension, and delayed holistic judgment—do not necessarily provide a template for all organizations trying to improve their selection processes. But the principles are broadly consistent with the recommendations that organizational psychologists have formulated"
1/28/23 19:38,24. Structure in Hiring,67.90%,#FFB,"structured interviews are far more predictive of future performance than are traditional, unstructured ones"
1/28/23 19:38,24. Structure in Hiring,67.90%,#FFB,"work sample tests,"
1/28/23 19:38,24. Structure in Hiring,67.90%,#FFB,"do not exclude intuition, but delay it."
1/28/23 19:36,24. Structure in Hiring,67.70%,#FFB,Perhaps its most visible move was to introduce structured behavioral interviews
1/28/23 19:33,24. Structure in Hiring,67.30%,#FFB,Work Rules
1/28/23 19:33,24. Structure in Hiring,67.30%,#FFB, sometimes had candidates suffer through twenty-five interviews
1/28/23 19:33,24. Structure in Hiring,67.30%,#FFB,"reduce that number to four, as"
1/28/23 19:33,24. Structure in Hiring,67.30%,#FFB,the company makes sure that the interviewers rate the candidate separately
1/28/23 19:32,24. Structure in Hiring,67.20%,#FFB,the mechanical approach is superior both in general and in the specific case of work performance prediction
1/28/23 19:29,24. Structure in Hiring,66.80%,#FFB,Why do first impressions end up driving the outcome of a much longer interview?
1/28/23 19:29,24. Structure in Hiring,66.80%,#FFB,"Interviewers with positive first impressions, for instance, ask fewer questions and tend to “sell” the company to the candidate."
1/28/23 19:28,24. Structure in Hiring,66.60%,#FFB,"Most organizations fully expect this variability and, for that reason, require several interviewers to meet the same candidate, with the results aggregated in some way."
1/28/23 19:28,24. Structure in Hiring,66.60%,#FFB,First impressions turn out to matter—a lot
1/28/23 19:26,24. Structure in Hiring,66.40%,#FFB,Interviews are also a minefield of psychological biases
1/28/23 19:26,24. Structure in Hiring,66.40%,#FFB,"For instance, physical appearance plays a large part in the evaluation of candidates, even for positions where it should matter little or not at all"
1/28/23 19:26,24. Structure in Hiring,66.20%,#FFB,"Yet from the perspective of an organization that invests time and effort in talent selection, the main purpose of interviews is clearly one of selection. And at that task, they are not exactly a terrific success."
1/28/23 19:24,24. Structure in Hiring,66.10%,#FFB,"In essence, if your goal is to determine which candidates will succeed in a job and which will fail, standard interviews (also called unstructured interviews to distinguish them from structured interviews, to which we will turn shortly) are not very informative. To put it more starkly, they are often useless."
1/28/23 19:22,22. Guidelines in Medicine,62.80%,#FFB,The medical profession needs more of them.
1/28/23 19:18,22. Guidelines in Medicine,62.00%,#FFB,Centor score
1/28/23 19:18,22. Guidelines in Medicine,62.00%,#FFB,"Breast Imaging Reporting and Data System (BI-RADS), which"
1/28/23 19:16,22. Guidelines in Medicine,61.80%,#FFB,Yet guidelines succeed in reducing noise because they decompose a complex decision into a number of easier subjudgments on predefined dimensions.
1/28/23 19:15,22. Guidelines in Medicine,61.50%,#FFB,"But our emphasis here will be on human-judgment guidelines, because the domain of medicine helpfully illustrates how they produce good or even excellent results in some applications and more mixed results in others"
1/28/23 19:14,22. Guidelines in Medicine,61.50%,#FFB,Apgar score
1/28/23 19:12,22. Guidelines in Medicine,61.30%,#FFB,Another illustration of the role of fatigue among clinicians is the lower rate of appropriate handwashing during the end of hospital shifts
1/28/23 19:12,22. Guidelines in Medicine,61.30%,#FFB,psychiatry
1/28/23 19:11,22. Guidelines in Medicine,61.10%,#FFB,"In areas that involve vague criteria and complex judgments, intrarater reliability, as it is called, can be poor."
1/28/23 19:09,22. Guidelines in Medicine,60.90%,#FFB,"Despite improvements over the decades, studies have continued to find significant variability in diagnosis of TB, with “moderate” or just “fair” interrater agreement"
1/28/23 19:09,22. Guidelines in Medicine,60.90%,#FFB,melanoma
1/28/23 19:09,22. Guidelines in Medicine,60.90%,#FFB,"was only 64%, meaning that doctors misdiagnosed melanomas in one of every three lesions"
1/28/23 19:09,22. Guidelines in Medicine,60.90%,#FFB,radiologists
1/28/23 19:08,22. Guidelines in Medicine,60.70%,#FFB,Heart disease
1/28/23 19:08,22. Guidelines in Medicine,60.70%,#FFB,"An early study found that 31% of the time, physicians evaluating angiograms disagreed on whether a major vessel was more than 70% blocked"
1/28/23 19:08,22. Guidelines in Medicine,60.70%,#FFB,Endometriosis
1/28/23 19:08,22. Guidelines in Medicine,60.70%,#FFB,Tuberculosis
1/28/23 18:29,22. Guidelines in Medicine,60.40%,#FFB,"“variation in skill can explain 44% of the variation in diagnostic decisions,” suggesting that “policies that improve skill perform better than uniform decision guidelines.”"
1/28/23 18:29,22. Guidelines in Medicine,60.40%,#DFC,interrater reliability
1/28/23 18:29,22. Guidelines in Medicine,60.40%,#DFC,kappa statistic
1/28/23 18:27,22. Guidelines in Medicine,60.20%,#FFB,Our goals in this chapter are to elaborate that claim and to describe some of the approaches to noise reduction used by the medical profession
1/28/23 18:27,22. Guidelines in Medicine,60.20%,#FFB,Dartmouth Atlas Project
1/28/23 18:25,21. Selection and Aggregation in Forecasting,59.60%,#FFB,"Eliciting and aggregating judgments that are both independent and diverse will often be the easiest, cheapest, and most broadly applicable decision hygiene strategy"
1/28/23 18:24,21. Selection and Aggregation in Forecasting,59.40%,#FFB,"As our discussion of noise in groups has highlighted, group deliberation often adds more error in bias than it removes in noise."
1/28/23 18:21,21. Selection and Aggregation in Forecasting,59.30%,#FFB,"Whenever possible, you should aim to combine the strategies, by constructing teams of judges (e.g., forecasters, investment professionals, recruiting officers) who are selected for being both good at what they do and complementary to one another."
1/28/23 18:15,21. Selection and Aggregation in Forecasting,59.10%,#FFB,The surprise is easily explained. Tetlock’s training is designed to fight psychological biases
1/28/23 18:15,21. Selection and Aggregation in Forecasting,59.10%,#FFB,"As a result, training forecasters to fight their psychological biases works—by reducing noise."
1/28/23 18:15,21. Selection and Aggregation in Forecasting,59.10%,#FFB,Teaming had a comparably large effect on noise reduction
1/28/23 18:15,21. Selection and Aggregation in Forecasting,59.10%,#FFB,"When working in groups, the superforecasters seem capable of avoiding the dangers of group polarization and information cascades"
1/28/23 18:15,21. Selection and Aggregation in Forecasting,59.10%,#FFB,“Teaming—unlike training… allows forecasters to harness the information
1/28/23 18:15,21. Selection and Aggregation in Forecasting,59.10%,#FFB,Superforecasters are better than others at finding relevant information
1/28/23 18:14,21. Selection and Aggregation in Forecasting,58.90%,#FFB,"Whenever an intervention boosted accuracy, it worked mainly by suppressing random errors in judgment"
1/28/23 18:11,21. Selection and Aggregation in Forecasting,58.50%,#FFB,perpetual beta
1/28/23 18:11,21. Selection and Aggregation in Forecasting,58.50%,#FFB,the degree to which one is committed to belief updating and self-improvement
1/28/23 18:10,21. Selection and Aggregation in Forecasting,58.30%,#FFB,they break it up into its component parts.
1/28/23 18:10,21. Selection and Aggregation in Forecasting,58.30%,#FFB,"In short, what distinguishes the superforecasters isn’t their sheer intelligence; it’s how they apply it."
1/28/23 18:10,21. Selection and Aggregation in Forecasting,58.30%,#FFB,active open-mindedness
1/28/23 18:08,21. Selection and Aggregation in Forecasting,58.20%,#FFB,But their real advantage is not their talent at math; it is their ease in thinking analytically and probabilistically
1/28/23 18:06,21. Selection and Aggregation in Forecasting,58.00%,#FFB,"One of the major findings was that the overwhelming majority of the volunteers did poorly, but about 2% stood out"
1/28/23 18:04,21. Selection and Aggregation in Forecasting,57.80%,#FFB,They gave the participants the opportunity to revise their forecasts continuously in light of new information
1/28/23 18:04,21. Selection and Aggregation in Forecasting,57.80%,#FFB,Fourth
1/28/23 18:04,21. Selection and Aggregation in Forecasting,57.80%,#FFB,Brier scores
1/28/23 18:04,21. Selection and Aggregation in Forecasting,57.80%,#FFB,Good calibration is one requirement for good forecasting.
1/28/23 18:03,21. Selection and Aggregation in Forecasting,57.60%,#FFB,"First, they used a large number of forecasts,"
1/28/23 18:03,21. Selection and Aggregation in Forecasting,57.60%,#FFB,"Second, the researchers asked participants to make their forecasts in terms of probabilities that an event would happen"
1/28/23 18:02,21. Selection and Aggregation in Forecasting,57.40%,#FFB,"Philip Tetlock (whom we encountered in chapter 11 when we discussed his assessment of long-term forecasts of political events); his spouse, Barbara Mellers; and Don Moore teamed up to improve our understanding of forecasting and, in particular, why some people are good at it"
1/28/23 18:01,21. Selection and Aggregation in Forecasting,57.20%,#FFB,"Much of the time, prediction markets have been found to do very well"
1/27/23 20:32,21. Selection and Aggregation in Forecasting,57.10%,#FFB,The easiest way to aggregate several forecasts is to average them
1/27/23 20:32,21. Selection and Aggregation in Forecasting,57.10%,#FFB,"Averaging is mathematically guaranteed to reduce noise: specifically, it divides it by the square root of the number of judgments averaged"
1/27/23 20:32,21. Selection and Aggregation in Forecasting,57.10%,#FFB,"Because averaging does nothing to reduce bias, its effect on total error (MSE) depends on the proportions of bias and noise in it."
1/27/23 20:25,"13. Heuristics, Biases, and Noise",38.00%,#FFB,"general, we jump to conclusions, then stick to them."
1/27/23 20:24,"13. Heuristics, Biases, and Noise",37.80%,#DFC,halo
1/27/23 20:24,"13. Heuristics, Biases, and Noise",37.80%,#FFB,"The evidence is disputed and mixed. But in a revealing study, consumers were found to be more likely to be affected by calorie labels if they were placed to the left of the food item rather than the right"
1/27/23 20:24,"13. Heuristics, Biases, and Noise",37.80%,#DFC,excessive coherence
1/27/23 20:22,"13. Heuristics, Biases, and Noise",37.40%,#DFC,anchoring
1/27/23 20:22,"13. Heuristics, Biases, and Noise",37.40%,#FFB,Anchoring is an extremely robust effect and is often deliberately used in negotiations.
1/27/23 20:21,"13. Heuristics, Biases, and Noise",37.20%,#DFC,affect heuristic
1/27/23 20:20,"13. Heuristics, Biases, and Noise",37.10%,#DFC,"conclusion bias, or prejudgment"
1/27/23 20:18,"13. Heuristics, Biases, and Noise",36.70%,#DFC,availability heuristic
1/27/23 20:11,"13. Heuristics, Biases, and Noise",35.60%,#DFC,planning fallacy.
1/27/23 19:57,12. The Valley of the Normal,34.10%,#FFB,This is because the process of understanding reality is backward-looking
1/27/23 19:53,12. The Valley of the Normal,33.60%,#FFB,"We must, however, remember that while correlation does not imply causation, causation does imply correlation."
1/27/23 19:22,12. The Valley of the Normal,33.40%,#FFB,"When a finding is described as “significant,” we should not conclude that the effect it describes is a strong one."
1/27/23 19:22,12. The Valley of the Normal,33.40%,#FFB,"With a sufficiently large sample, a correlation can be at once very “significant” and too small to be worth discussing."
1/27/23 19:19,12. The Valley of the Normal,33.20%,#FFB,"improvement the AI models delivered over a very simple model was slight, and their predictive accuracy remained disappointingly low"
1/27/23 19:19,12. The Valley of the Normal,33.20%,#FFB,Aggregate measures are widely known to be both more predictive and more predictable than are measures of single outcomes
1/27/23 19:19,12. The Valley of the Normal,33.20%,#FFB,"An extensive review of research in social psychology, covering 25,000 studies and involving 8 million subjects over one hundred years, concluded that “social psychological effects typically yield a value of r [correlation coefficient] equal to .21.”"
1/27/23 19:19,12. The Valley of the Normal,33.20%,#FFB,"Much higher correlations, like the .60 we mentioned earlier between adult height and foot size, are common for physical measurements but are very rare in the social sciences."
1/27/23 19:18,12. The Valley of the Normal,33.00%,#FFB,"This type of challenge is novel in the social sciences but common in computer science, where teams are often invited to compete in tasks"
1/27/23 19:16,12. The Valley of the Normal,32.80%,#FFB,"Fragile Families and Child Wellbeing Study,"
1/25/23 1:16,11. Objective Ignorance,31.20%,#FFB,people who engage in predictive tasks will underestimate their objective ignorance
1/25/23 1:16,11. Objective Ignorance,31.20%,#FFB,The average expert was roughly as accurate as a dart-throwing chimpanzee.”
1/25/23 1:16,11. Objective Ignorance,31.20%,#FFB,Overconfidence is one of the best-documented cognitive biases
1/25/23 1:16,11. Objective Ignorance,31.20%,#FFE0EC,Philip Tetlock
1/25/23 1:14,11. Objective Ignorance,31.00%,#DFC,intractable uncertainty (what cannot possibly be known
1/25/23 1:14,11. Objective Ignorance,31.00%,#DFC,imperfect information (what could be known but isn’t)
1/25/23 1:12,11. Objective Ignorance,30.80%,#FFB,"the field of personnel selection, a recent review found that the performance of human judges does not come close to this number. On average, they achieve a predictive correlation of .28 (PC = 59%)."
1/24/23 21:28,10. Noiseless Rules,30.10%,#FFB,but we can strive to emulate the simplicity and noiselessness of simple models. To
1/24/23 21:28,10. Noiseless Rules,30.10%,#FFB,"More often, people are willing to give an algorithm a chance but stop trusting it as soon as they see that it makes mistakes"
1/24/23 21:27,10. Noiseless Rules,29.90%,#FFB,"In a 1996 article, Meehl and a coauthor listed (and rebutted) no fewer than seventeen types of objections that psychiatrists, physicians, judges, and other professionals had to mechanical judgment"
1/24/23 21:26,10. Noiseless Rules,29.70%,#FFB,their use remains limited
1/24/23 21:24,10. Noiseless Rules,29.50%,#FFB,"Bo Cowgill, a professor at Columbia Business School, studied the recruitment of software engineers at a large tech company. Instead of using (human) résumé screeners to select who would get an interview, Cowgill developed a machine-learning algorithm to screen the résumés of candidates and trained it on more than three hundred thousand submissions that the company had received and evaluated"
1/24/23 21:24,10. Noiseless Rules,29.50%,#FFB,"The algorithm also picked a more diverse group of candidates, in terms of race, gender, and other metrics; it was much more likely to select “nontraditional” candidates, such as those who did not graduate from an elite school, those who lacked prior work experience, and those who did not have a referral"
1/24/23 21:21,10. Noiseless Rules,29.00%,#FFB,"758,027 bail decisions"
1/24/23 21:19,10. Noiseless Rules,28.80%,#DFC,broken-leg exceptions
1/24/23 21:19,10. Noiseless Rules,27.70%,#FFE0EC,More Simplicity
1/24/23 21:17,10. Noiseless Rules,28.60%,#FFB,The frugal model did better than virtually all human bail judges did in predicting flight risk
1/24/23 21:17,10. Noiseless Rules,28.60%,#FFB,"The appeal of frugal rules is that they are transparent and easy to apply. Moreover, these advantages are obtained at relatively little cost in accuracy relative to more complex models."
1/24/23 21:17,10. Noiseless Rules,28.60%,#FFE0EC,More Complexity
1/24/23 21:16,10. Noiseless Rules,28.40%,#FFB,The example illustrates a general rule: the combination of two or more correlated predictors is barely more predictive than the best of them on its own.
1/24/23 21:16,10. Noiseless Rules,28.40%,#FFB,"this statistical fact supports the use of frugal approaches to prediction, which use a small number of predictors."
1/24/23 21:14,10. Noiseless Rules,28.30%,#FFB, it does not require any data you don’t have or any complicated calculations
1/24/23 21:14,10. Noiseless Rules,28.30%,#FFB,“The whole trick is to decide what variables to look at and then to know how to add.”
1/24/23 21:12,10. Noiseless Rules,28.10%,#FFB,Equal-weight models do well because they are not susceptible to accidents of sampling.
1/24/23 21:11,10. Noiseless Rules,27.90%,#FFB,The challenge is that when the formula is applied out of sample
1/24/23 21:10,10. Noiseless Rules,27.70%,#FFB,—is that all mechanical approaches are noise-free.
1/24/23 0:17,10. Noiseless Rules,27.50%,#FFB,"And they perform difficult prediction tasks: machine-learning algorithms forecast the decisions of the US Supreme Court, determine which defendants are more likely to jump bail, and assess which calls to child protective services most urgently require a case worker’s visit."
1/24/23 0:16,9. Judgments and Models,27.20%,#FFB,"In this setting, human judges performed very poorly in absolute terms, which helps explain why even unimpressive linear models outdid them."
1/24/23 0:10,9. Judgments and Models,26.40%,#FFB,"Decades later, a review of fifty years of research concluded that models of judges consistently outperformed the judges they modeled"
1/24/23 0:10,9. Judgments and Models,26.40%,#FFB,But you can surely imagine your own dismay if someone told you that a crude model of your judgments—almost a caricature—was actually more accurate than you were
1/24/23 0:10,9. Judgments and Models,26.40%,#FFB,Complexity and richness do not generally lead to more accurate predictions.
1/24/23 0:09,9. Judgments and Models,26.20%,#FFB,The model of the judge is not a realistic description of how a judge actually judges.
1/24/23 0:07,9. Judgments and Models,26.10%,#FFB,The findings support a blunt conclusion: simple models beat humans
1/24/23 0:06,9. Judgments and Models,25.90%,#FFB,A 2000 review of 136 studies confirmed unambiguously that mechanical aggregation outperforms clinical judgment
1/24/23 0:05,9. Judgments and Models,25.70%,#FFB,because of a common failure to distinguish between two stages of the prediction task: evaluating cases on the evidence available and predicting actual outcomes.
1/24/23 0:04,9. Judgments and Models,25.50%,#FFB,He reached the strong conclusion that simple mechanical rules were generally superior to human judgment
1/24/23 0:03,9. Judgments and Models,25.30%,#FFB,But linear regression models are the most common (they have been called “the workhorse of judgment and decision-making research”).
1/23/23 23:58,Part III: Noise in Predictive Judgments,24.40%,#DFC,objective ignorance
1/23/23 23:56,Part III: Noise in Predictive Judgments,24.20%,#DFC,concordant
1/23/23 23:56,Part III: Noise in Predictive Judgments,24.20%,#FFB,"If you look at two people, first at their head and then at their feet, there is a 71% chance that the taller of the two also has the larger feet"
1/23/23 23:56,Part III: Noise in Predictive Judgments,24.20%,#DFC,correlation coefficient (r
1/23/23 23:56,Part III: Noise in Predictive Judgments,24.00%,#DFC,percent
1/22/23 2:47,8. How Groups Amplify Noise,22.40%,#FFB,Some of the studies we are describing involve informational cascades. Such cascades are pervasive
1/22/23 2:46,8. How Groups Amplify Noise,22.20%,#FFB,"But independence is a prerequisite for the wisdom of crowds. If people are not making their own judgments and are relying instead on what other people think, crowds might not be so wise after"
1/22/23 2:43,8. How Groups Amplify Noise,21.70%,#FFB," this reason, otherwise similar groups might end up making very different judgments simply because of who spoke first and initiated the equivalent of early downloads."
1/21/23 2:25,7. Occasion Noise,19.80%,#FFB,you are not the same person at all times. As your mood 
1/21/23 2:23,7. Occasion Noise,19.60%,#FFB,"Conversely, eyewitnesses who are exposed to misleading information are better able to disregard it—and to avoid false testimony—when they are in a bad mood."
1/21/23 2:19,7. Occasion Noise,18.70%,#DFC,the crowd within.
12/17/22 0:20,7. Occasion Noise,20.20%,#FFB,"Another source of random variability in judgment is the order in which cases are examined. When a person is considering a case, the decisions that immediately"
12/17/22 0:20,7. Occasion Noise,20.20%,#FFB, behavior reflects a cognitive bias known as the gambler’s fallacy: we tend to underestimate the likelihood that streaks will occur
12/17/22 0:18,7. Occasion Noise,20.00%,#FFB,"Among the extraneous factors that should not influence professional judgments, but do, are two prime suspects: stress and fatigue"
12/17/22 0:16,7. Occasion Noise,19.60%,#DFC,bullshit receptivity. (Bullshit has become something of a technical term since Harry
12/17/22 0:16,7. Occasion Noise,19.60%,#DFC,"book, On Bullshit, in which he distinguished bullshit from other types of misrepresentation.)"
12/17/22 0:13,7. Occasion Noise,19.40%,#FFB,"Being in a good mood is a mixed blessing, and bad moods have a silver lining. The costs and benefits of different moods are situation-specific."
12/17/22 0:13,7. Occasion Noise,19.40%,#FFB,"Also, negotiators who shift from a good mood to an angry one during the negotiation often achieve good results—something to remember when you’re facing a stubborn counterpart!"
12/17/22 0:13,7. Occasion Noise,19.40%,#FFB,People who are in a good mood are more likely to let their biases affect their thinking.
12/17/22 0:12,7. Occasion Noise,19.10%,#FFB,"if you can get independent opinions from others, do it—this real wisdom of crowds is highly likely to improve your judgment"
12/17/22 0:12,7. Occasion Noise,19.10%,#FFB,"If you cannot, make the same judgment yourself a second time to create an “inner crowd.” You can do this either after some time has passed—giving yourself distance from your first opinion—or by actively trying to argue against yourself to find another perspective on the problem. Finally, regardless of the type of crowd, unless you have very strong reasons to put more weight on one of the estimates, your best bet is to average them."
12/17/22 0:12,7. Occasion Noise,18.90%,#DFC,dialectical bootstrapping
12/17/22 0:11,7. Occasion Noise,18.90%,#FFB,"Sleep on it, and think again in the morning.”"
12/17/22 0:05,6. The Analysis of Noise,17.60%,#DFC,"Level noise is variability in the average level of judgments by different judges. 

 Pattern noise is variability in judges’ responses to particular cases."
12/17/22 0:04,6. The Analysis of Noise,17.40%,#DFC,Our name for the variability that is due to transient effects is occasion noise
12/17/22 0:04,6. The Analysis of Noise,17.40%,#DFC,System noise is undesirable variability in the judgments of the same case by multiple individuals
12/2/22 11:57,5. Measuring Error,15.20%,#FFB,"A government responding to a health crisis, such as a pandemic, must weigh the pros and cons of various options, but no evaluation is possible without accurate predictions about the likely consequences of each option (including the decision to do nothing)."
12/2/22 11:55,5. Measuring Error,15.00%,#FFB,The error equation is the intellectual foundation of this book
12/2/22 11:55,5. Measuring Error,15.00%,#FFB,"It provides the rationale for the goal of reducing system noise in predictive judgments, a goal that is in principle as important as the reduction of statistical bias. ("
12/2/22 11:53,5. Measuring Error,14.10%,#FFB,"Scientists in diverse disciplines were quick to adopt the least squares method. Over two centuries later, it remains the standard way to evaluate errors wherever achieving accuracy is the goal"
12/2/22 11:52,5. Measuring Error,13.90%,#FFB,This is a key feature of MSE: squaring gives large errors a far greater weight than it gives small ones.
12/2/22 11:51,5. Measuring Error,13.80%,#FFB,"Your intuition probably favors the mean, and your intuition is correct. The mean contains more information; it is affected by the size of the numbers, while the median is affected only by their order"
